id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-1174105";"2021-12-09";"1";"Vente";"287660.0";"65.0";"None";"RUE DE STRASBOURG";"8575";"93200";"93066";"Saint-Denis";"93";"None";"None";"930660000T0150";"None";"None";"13";"69.46";"80";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"76.0";"3.0";"None";"None";"None";"None";"nan";"2.366673";"48.936172";"0000T"
"2021-1174105";"2021-12-09";"1";"Vente";"287660.0";"65.0";"None";"RUE DE STRASBOURG";"8575";"93200";"93066";"Saint-Denis";"93";"None";"None";"930660000T0150";"None";"None";"13";"69.46";"80";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.366673";"48.936172";"0000T"
"2021-1174105";"2021-12-09";"1";"Vente";"287660.0";"65.0";"None";"RUE DE STRASBOURG";"8575";"93200";"93066";"Saint-Denis";"93";"None";"None";"930660000T0150";"None";"None";"102";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.366673";"48.936172";"0000T"
"2021-1171446";"2021-09-27";"1";"Vente";"330000.0";"65.0";"None";"RUE DE STRASBOURG";"8575";"93200";"93066";"Saint-Denis";"93";"None";"None";"930660000T0150";"None";"None";"3";"nan";"7";"nan";"8";"nan";"84";"nan";"None";"nan";"4";"4";"Local industriel. commercial ou assimilé";"112.0";"0.0";"None";"None";"None";"None";"nan";"2.366673";"48.936172";"0000T"
"2021-1171580";"2021-09-20";"1";"Vente";"449000.0";"49.0";"None";"RUE DE STRASBOURG";"8575";"93200";"93066";"Saint-Denis";"93";"None";"None";"930660000T0245";"None";"None";"27";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"89.0";"4.0";"None";"None";"None";"None";"nan";"2.364807";"48.93634";"0000T"
"2021-1170269";"2021-09-06";"1";"Vente";"383450.0";"32.0";"None";"RUE GEORGES POLITZER";"4144";"93200";"93066";"Saint-Denis";"93";"None";"None";"930660000T0140";"None";"None";"29";"101.14";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"99.0";"4.0";"None";"None";"None";"None";"nan";"2.366203";"48.93971";"0000T"
"2021-1170269";"2021-09-06";"1";"Vente";"383450.0";"26.0";"None";"RUE GEORGES POLITZER";"4144";"93200";"93066";"Saint-Denis";"93";"None";"None";"930660000T0140";"None";"None";"69";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.366203";"48.93971";"0000T"
"2021-1170271";"2021-09-01";"1";"Vente";"190000.0";"26.0";"None";"RUE GEORGES POLITZER";"4144";"93200";"93066";"Saint-Denis";"93";"None";"None";"930660000T0140";"None";"None";"52";"43.03";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"42.0";"2.0";"None";"None";"None";"None";"nan";"2.366203";"48.93971";"0000T"
"2021-1170271";"2021-09-01";"1";"Vente";"190000.0";"26.0";"None";"RUE GEORGES POLITZER";"4144";"93200";"93066";"Saint-Denis";"93";"None";"None";"930660000T0140";"None";"None";"110";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.366203";"48.93971";"0000T"
"2021-1169600";"2021-08-26";"1";"Vente";"217775.0";"1.0";"None";"CHE DES BAS PRES";"0612";"93200";"93066";"Saint-Denis";"93";"None";"None";"930660000T0245";"None";"None";"43";"41.44";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"41.0";"2.0";"None";"None";"None";"None";"nan";"2.364807";"48.93634";"0000T"
"2021-1169351";"2021-08-24";"1";"Vente";"150200.0";"65.0";"None";"RUE DE STRASBOURG";"8575";"93200";"93066";"Saint-Denis";"93";"None";"None";"930660000T0150";"None";"None";"40";"48.35";"47";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"99.0";"4.0";"None";"None";"None";"None";"nan";"2.366673";"48.936172";"0000T"
"2021-1169351";"2021-08-24";"1";"Vente";"150200.0";"65.0";"None";"RUE DE STRASBOURG";"8575";"93200";"93066";"Saint-Denis";"93";"None";"None";"930660000T0150";"None";"None";"40";"48.35";"47";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"4";"Local industriel. commercial ou assimilé";"144.0";"0.0";"None";"None";"None";"None";"nan";"2.366673";"48.936172";"0000T"
"2021-1168180";"2021-08-03";"1";"Vente en l'état futur d'achèvement";"345000.0";"1.0";"None";"CHE DES BAS PRES";"0612";"93200";"93066";"Saint-Denis";"93";"None";"None";"930660000T0245";"None";"None";"49";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"64.0";"3.0";"None";"None";"None";"None";"nan";"2.364807";"48.93634";"0000T"
"2021-1168180";"2021-08-03";"1";"Vente en l'état futur d'achèvement";"345000.0";"51.0";"None";"RUE DE STRASBOURG";"8575";"93200";"93066";"Saint-Denis";"93";"None";"None";"930660000T0245";"None";"None";"104";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.364807";"48.93634";"0000T"
"2021-1168418";"2021-07-30";"1";"Vente";"284502.0";"65.0";"None";"RUE DE STRASBOURG";"8575";"93200";"93066";"Saint-Denis";"93";"None";"None";"930660000T0150";"None";"None";"12";"71.08";"61";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"76.0";"3.0";"None";"None";"None";"None";"nan";"2.366673";"48.936172";"0000T"
"2021-1168418";"2021-07-30";"1";"Vente";"284502.0";"65.0";"None";"RUE DE STRASBOURG";"8575";"93200";"93066";"Saint-Denis";"93";"None";"None";"930660000T0150";"None";"None";"12";"71.08";"61";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.366673";"48.936172";"0000T"
"2021-1168418";"2021-07-30";"1";"Vente";"284502.0";"65.0";"None";"RUE DE STRASBOURG";"8575";"93200";"93066";"Saint-Denis";"93";"None";"None";"930660000T0150";"None";"None";"106";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.366673";"48.936172";"0000T"
"2021-1168673";"2021-07-27";"1";"Vente";"230000.0";"1.0";"None";"BD DE LA COMMUNE DE PARIS";"1544";"93200";"93066";"Saint-Denis";"93";"None";"None";"930660000T0238";"None";"None";"4";"43.27";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"43.0";"2.0";"None";"None";"None";"None";"nan";"2.362232";"48.938721";"0000T"
