"address","location/lat","location/lng","name","numberOfGuests","pricing/nights","pricing/rate/amount","pricing/rate/amountFormatted","pricing/rate/currency","pricing/rate/isMicrosAccuracy","pricing/rateType","pricing/totalPrice/accommodation","pricing/totalPrice/amount","pricing/totalPrice/amountFormatted","pricing/totalPrice/cleaningFee","pricing/totalPrice/currency","pricing/totalPrice/guestFee","roomType","stars","url"
"Paris, France","48.87224","2.38256","Classique Double","2","1","992","$992","USD","false","nightly","992","992","$992",,"USD",,"Room in boutique hotel",,"https://www.airbnb.com/rooms/24841117"
"Fontenay-sous-Bois, Île-de-France, France","48.85203","2.49099","Loft Green Design","2","1","962","$962","USD","false","nightly","843","962","$962",,"USD","119","Private room in loft",,"https://www.airbnb.com/rooms/53578394"
"Chennevières-sur-Marne, Île-de-France, France","48.80571","2.53881","Propriété des fossés verts Paris & Disney","15","1","668","$668","USD","false","nightly","555","668","$668","30","USD","83","Entire home","5","https://www.airbnb.com/rooms/35442879"
"Paris, Île-de-France, France","48.88962","2.34995","Disponible","1","1","906","$906","USD","false","nightly","794","906","$906",,"USD","112","Shared room in boutique hotel","4.5","https://www.airbnb.com/rooms/27384345"
"Paris, Île-de-France, France","48.82846","2.38006","75 Avenue de France House","2","1","590","$590","USD","false","nightly","517","590","$590",,"USD","73","Private room in rental unit",,"https://www.airbnb.com/rooms/43909134"
"Chennevières-sur-Marne, Île-de-France, France","48.7951","2.53575","Maison des fossé vert","12","1","684","$684","USD","false","nightly","569","684","$684","30","USD","85","Entire home","5","https://www.airbnb.com/rooms/35442882"
"Paris, Ile de France, France","48.881","2.351","Comfort Double Room - Avalon Paris Gare du Nord","2","1","991","$991","USD","false","nightly","991","991","$991",,"USD",,"Room in hotel","4.5","https://www.airbnb.com/rooms/26152757"
"Paris, Île-de-France, France","48.87102","2.37671","Loft de réception","16","1","736","$736","USD","false","nightly","595","736","$736","50","USD","91","Entire loft","5","https://www.airbnb.com/rooms/1350971"
"Épinay-sur-Seine, Île-de-France, France","48.95155","2.30731","hôtel de la Seine","2","1","548","$548","USD","false","nightly","548","548","$548",,"USD",,"Room in hotel","4.5","https://www.airbnb.com/rooms/35474743"
"Paris, Ile de France, France","48.881","2.351","Private Studio for 2 - Avalon Paris Gare du Nord","2","1","991","$991","USD","false","nightly","991","991","$991",,"USD",,"Room in hotel","4","https://www.airbnb.com/rooms/26153312"
"Paris, Île-de-France, France","48.881","2.352","Superior Triple Room - Avalon Gare du Nord","3","1","991","$991","USD","false","nightly","991","991","$991",,"USD",,"Room in hotel",,"https://www.airbnb.com/rooms/34991188"
"Paris, Île-de-France, France","48.88376","2.34406","hôtel  idéale pour visiter et profiter de Paris.","4","1","992","$992","USD","false","nightly","992","992","$992",,"USD","0","Room in hotel",,"https://www.airbnb.com/rooms/41417109"
