type_location,adresse,prix_par_mois,details,description,supplements
Location Appartement,Paris 12e (75012),1.124 €,2 pièces 1 chambre 31 m²,"Paris 12ème. Charmant duplex, entièrement meublé, 31 m².
Au 3ème et dernier étage d'un petit immeuble calme.
Bon état, très lumineux, sans vis à vis.

Colocation acceptée.

Très bien desservi par les transports publics : - métro ligne 1, Porte de Vincennes , à 50 mètres,
- tramways T3a et T3b, en face,
- RER A Nation à 6 min,
- 6 bus : 26, 64, 86, 501, 351 (Roissypole).

Entrée et salon avec joli parquet et escalier
pour monter dans la chambre, poutres apparentes.
Cuisine équipée: four, réfrigérateur 2 portes, microondes,
Salle de bains avec baignoire, wc séparés,

Lave-linge.
Double vitrage.
Interphone, digicode (badge).

Quartier agréable. Tous commerces.
Vélib et parking à vélos en face. Autolib à 50 mètres.

Libre immédiatement. Visites individuelles sur rendez-vous
Loyer : 1025 E + charges 99 E
merci d'appeler de 13h à 23h
si je ne réponds pas, je rappelle",| Porte de Vincennes| Alexandra David-Néel| Saint-Mandé
Location Appartement,Pontoise (95000),520 €,1 pièce 1 chambre 22 m²,"Colocation Idéalement située, car proche des écoles, universités, de la gare Pontoise et également à 5 min de plusieurs commodités .

Cet appartement de 85 m² comprend 4 belles chambres individuelles, un grand salon avec terrasse et une grande cuisine et 2 salles de bains indépendantes pour plus de confort ainsi qu'un wc séparés. L'appartement est entièrement aménagé.

Chaque chambre à louer est composée d'un grand lit double, d'une armoire et d'un bureau/chaise : tout ce qu'il faut pour y être bien et travailler tranquillement.

L'accès Internet est inclus dans tout l'appartement grâce au WiFi.

Équipements de l'appartement : - Cuisine équipée
- Four & plaque vitrocéramique - Hotte
- Micro-onde
- Réfrigérateur & congélateur
- Machine à laver
- De nombreux ustensiles (Bouilloire, grille pain, plats, marmites, couverts etc.)
-Smart TV.

L'appartement idéal de standing et au calme pour un étudiant !

Loyer de la chambre: 500 euros + 20 euros de charges
Ps: les charges comprennent (eau chaude/froide, électricité, box TV, internet, chauffage collectif)

APL accepté",| Pontoise| Cergy - Préfecture| Osny
Location Appartement,Noisy-le-Grand (93160),910 €,2 pièces 1 chambre 38 m²,"2 pièces proche RER de Noisy le Grand comprenant : séjour, chambre, cuisine aménagée, salle de bains, wc indépendants, balcon 6m2, grande cave, box fermé au sous-sol.
Disponible le 1er octobre 2020.
Loyer + provision sur charge 910 €/ mois.
Caution demandée.",| Noisy-le-Grand - Mont d’Est| Bry-sur-Marne| Noisy - Champs
Location Appartement,Paris 9e (75009),1.224 €,2 pièces 1 chambre 29 m²,"Très joli F2 appartement au 5eme étage avec ascenseur et aucune perte d'espace.
Appartement récemment repeint, très calme et ensoleillé.

Un superbe quartier, à 3 min à pied de la Madeleine, a moins de 5 min d'Opéra et des grands magasins. Rue très animée avec juste à côté un Franprix, une pâtisserie, ainsi que beaucoup de petits restaurants.

Une cuisine entièrement équipée avec lave-vaisselle, micro-onde, lave-linge, réfrigérateur. Un salon équipé d'un canape lit, un meuble télé et des rangements, une table pliable et une télé. Dans la chambre, un lit de 1m60 avec 2 petites tables de nuit et des étagères de rangements.
Salle de bain avec tous les outils nécessaires.
**Superbe quartier et l’appartement est situé dans un immeuble très bien entretenu.",| Havre - Caumartin| Auber| Madeleine
Location Appartement,Courbevoie (92400),2.880 €,4 pièces 3 chambres 105 m²,"Superbe 4 pièces de 105 m² récemment rénové, composé d'une entrée avec rangements, un séjour entièrement meublé, une cuisine américaine aménagée et équipée (réfrigérateur/congélateur, four, four micro-ondes, lave-vaisselle, plaques 3 feux induction, vaisselle), TV, trois grandes chambres avec lits, bureaux, placard et dressing pour l'une, salle de bains avec double vasque et placard, salle de douche avec wc, buanderie avec lave-linge, sèche-linge et wc. Chauffage et eau chaude collectifs. Wifi fibre.
Parking. Charges incluses.

Colocation acceptée. Bail société possible.

Digicode, interphone, pompiers 24h/24, gardien, alarme, double vitrage. Lumineux, calme. Porte blindée, climatisation, immeuble sécurisé. Vue dégagée sur Paris et La Défense.

Proximité métro/RER/gare/tramway La Défense, Esplanade de La Défense et Courbevoie (lignes 1, A, T2, L, N et U).

Loyer : 2.880 E charges comprises
Entre 9 h et 20 h.",| Courbevoie| Esplanade de la Défense| Faubourg de l'Arche
Location Appartement,Paris 16e (75016),1.800 €,3 pièces 2 chambres 60 m²,"Situé proche des commerces et des transports (lignes métro 9 et 10)
Appartement refait à neuf, 1er étage.
Dans immeuble pierre de taille, 3 pièces lumineux de 60 m2 avec salon (moulures, cheminée), 2 chambres indépendantes.

Cuisine équipée (réfrigérateur, congélateur, lave-vaisselle).
Salle de bains avec wc refaite à neuf équipée d'une machine à laver.
Chauffage individuel au gaz.

Loyer 1.700 E/mois + 100 E charges.",| Exelmans| Chardon-Lagache| Michel-Ange - Molitor
Location Appartement,Sèvres (92310),620 €,1 pièce 20 m²,"Appartement type studio 20m2, situé à Sèvres.
Loyer 620 E/mois
Desserte ligne de bus 179 à 50 m du logement (liaison avec Pont de Sèvres en moins de 10 minutes, 5 min avec centre commercial Vélizy). Quelques commerces de proximité. 10 min à pied du centre-ville. Proximité forêt de Meudon. Quartier résidentiel très calme.
Cuisine de bonne surface, cabinet de toilette avec douche, lavabo et wc, une pièce principale avec une mezzanine, un débarras en fond de cours.
Disponible le 12 octobre.
Contact par tel. Professionnels s’abstenir.",| Sèvres - Rive Gauche| Bellevue| Chaville - Rive Droite
Location Appartement,Fontenay-sous-Bois (94120),1.050 €,2 pièces 1 chambre 80 m²,"Charmant loft, proche Bois de Vincennes, transports et commerces.

Grand loft meublé.
Idéal 2 étudiants en colocation ou jeune couple.
Courte durée privilégiée (moins d'un an) mais renouvelable si besoin.

Emplacement rare côté Bois de Vincennes.
A proximité immédiate du RER A. Bus. Vélib.
Tous commerces à côté : supermarché, boulangerie, Picard, banques, ...

Grand appartement spacieux atypique de 80 m² style loft en open-space.
Plusieurs aménagements possibles.

Au calme et sans vis-à-vis, en entresol d'une belle villa avec vue sur jardin exposé sud.

Cuisine tout équipée : four, frigo, congélateur, micro-onde, lave-linge, plaque vitrocéramique.
Douche - wc - lavabo.
Nombreux rangements et placards.

Loyer : 990 E
Visites sur rendez-vous à fixer par mail",| Fontenay-sous-Bois| Nogent-sur-Marne| Château de Vincennes
Location Appartement,Paris 16e (75016),805 €,1 pièce 16 m²,"Métro Trocadéro ou Victor Hugo.

Au 1er étage d'un immeuble moderne sur cour, digicode, interphone et gardien. Studio 16 m², bon état, clair, grande fenêtre avec volet roulant électrique, vue dégagée, parquet, salle d'eau avec douche, wc et lavabo, lave-linge, cuisine équipée (réfrigérateur-freezer, plaques de cuisson et micro-ondes) et armoire.

Loyer : 805 €/mois charges comprises (chauffage central, eau chaude collective, EDF et une connexion wifi).",| Victor Hugo| Boissière| Trocadéro
Location Appartement,Évry (91000),520 €,1 pièce 1 chambre,"Nouvel appartement pour une colocation refaite à neuve.

L'appartement de 86 m² est composé de 4 chambres dont deux avec mezzanine.
Situé dans un quartier calme au centre d'Evry.

Près de toutes commodités : arrêt de bus au pied de l'immeuble. Gare RER D < 5 min en bus.
Accès INT, Université, 10min à pied.

Appartement refait à neuf, meublé, équipé et idéalement bien pensé. Esprit convivial et décoration faite avec goût. Grande terrasse extérieure, appartement lumineux, grande cuisine séparée, salle de bains, wc, 4 chambres.

- Les chambres sont totalement meublées : bureau et chaise, commode, portant, literie neuve.

- Cuisine aménagée et équipée : réfrigérateur, congélateur, four, plaque de cuisson, four à micro-ondes, table avec chaises, vaisselles et ustensiles.

- Grande terrasse avec une table pour passer des moments de convivialité.",
