type,adresse,prix,details,description,supplements
Vente Maison,Les Pavillons-sous-Bois (93320),359.000 €,4 pièces 2 chambres 75 m² Terrain 222 m² 4.787 € le m²,"Maison située au centre ville de Pavillons sous bois à La Basoche.

Dans un coin très calme, à 10 minutes à pied de la gare de tramway Les Pavillons sous bois, et de l'école Alliance.

Elle se compose comme suit, au rez-de-chaussé, une véranda, un salon/salle à manger, une cuisine et un toilette
A l'étage 2 chambres ainsi qu'une salle de bain avec toilette.

Un garage fermé de 35 m2

Tout cela sur une parcelle de 222m²

Possibilité d'agrandissement

N'hésitez pas à me contacter, direct propriétaire. Agence s'abstenir.",| Les Pavillons-sous-Bois| Allée de la Tour - Rendez-Vous| Les Coquetiers
Vente Appartement,Paris 15e (75015),750.000 €,3 pièces 2 chambres 73 m² 10.274 € le m²,"Rare très calme et lumineux.

Idéalement situé dans un secteur prisé, cet appartement traversant et parfaitement distribué est particulièrement calme et lumineux.

Baies vitrées et balcons ornent chaque pièce de vie.
Beau séjour avec parquet et balcon filant.
Deux grandes chambres : 1 orientée Nord/Ouest sur rue non passante et 1 autre orientée Sud/Est, au dessus des arbres et sans aucun vis-à-vis. Idéal pour prendre son petit-déjeuner au soleil et au chant des oiseaux !

Cuisine à meubler selon votre goût, ouverture sur le séjour possible.
Nombreux rangements : 1 dressing + placards intégrés.
Aucune perte de place.
Salle de bain avec baignoire. Wc séparés.

Proche du métro Volontaires et de tous commerces, crèches, tennis et jardins mitoyens : square Necker + jardins partagés fleuris. Esprit « village ».
Sectorisation lycées Buffon, Duruy, Fénelon, Montaigne.

Au 3ème étage avec ascenseur.
Bâtiment de 6 étages, année de construction 1973.
Copropriété très bien entretenue et sécurisée. Interphone. Gardien.

Local à vélo sécurisé.
Une cave très saine (béton) complète ce bien.

Possibilité de parking sécurisé avec accès par ascenseur sous l'immeuble, en sus.

Charges : 327 € / mois, chauffage collectif inclus
Taxe foncière : 1155 €.",| Vaugirard (Adolphe Chérioux)| Volontaires| Convention
Vente Maison,Nanterre (92000),550.000 €,3 pièces 2 chambres 80 m² Terrain 209 m² 6.875 € le m²,"Maison de 80m2 plateau Mont-Valérien limite Suresnes et Puteaux situé juste à côté de La Défense sur une belle parcelle à deux pas des transports composée de deux étages indépendants entre eux!

Le plus de cette belle maison son jardin à l'avant et à l'arrière totalement silencieux

(combles supplémentaires pas sur les photos de environ 14m2 également complètement refait à neuf).

Chaque étage dispose de 40m2 avec cuisine, salle de eau et chambres! Possibilité de garder l'indépendance entre eux pour location ou unifiée pour une seul famille! Grand potentiel locative!

Possibilité de créer une grande véranda approuvée pour la mairie (devis et plains disponibles).",| Puteaux| Belvédère| Nanterre - Préfecture
Vente Appartement,Paris 11e (75011),518.000 €,2 pièces 1 chambre 44 m²,"Appartement en duplex situé dans une rue calme d’un quartier vivant et agréable, à deux pas du canal Saint-Martin et à 5mn à pied de la place de la République et de tous ses transports (5 lignes de métro).

Proche de toutes commodités et en face d'un supermarché ,dans un immeuble ancien et bien entretenu, il est situé au 5ème et dernier étage sans ascenseur.

Lumineux et donnant entièrement sur cour, ce beau duplex de35,88 m² Carrez (60 m² au sol avec les combles) pondéré sur 44 m2 avec nombreux rangements comprenant :

- Au rez-de-chaussée :
Une entrée donnant sur une belle pièce de vie baignée de lumière (orientée plein Sud) avec cuisine américaine et îlot central, salle à manger/séjour, coin télétravail et jolie salle d'eau avec wc.

- A l'étage : Une chambre mansardée, un dressing et un grenier.

Chauffage au gaz, double vitrage. Vue dégagée.
Une cave complète ce bien

Charges copropriété : 1.226EUR
Taxe foncière : 511 EUR",| Goncourt (Hôpital-Saint-Louis)| République| Oberkampf
Vente Appartement,Alfortville (94140),260.000 €,2 pièces 1 chambre 43 m² 6.047 € le m²,"Appartement T2 en très bon état, traversant, exposition est-ouest, sans vis à vis, d'environ 43 m2 à Alfortville (centre).

A 10 min à pied de la gare RER Maisons Alfort-Alfortville (rejoint Paris gare de Lyon en 5 min)-A 15 min à pied du métro 8 École Vétérinaire de Maisons Alfort et des bords de Marne. A 5 min à pied des bords de Seine.
Bus 103 au pied de l'immeuble.
Écoles et commerces à proximité.

Il se compose d'une cuisine ouverte sur un salon (environ 22m2), d'une chambre de 16m2, d'une salle de bains avec baignoire, et de toilettes séparées. Une cave d'environ 3m2 vient compléter le bien.

Situé au 4eme et dernier étage (ascenseur).
Chauffage collectif.
Électricité refaite en 2015, double vitrage en 2015.
Ravalement façade côté rue en 2018.
Nouveaux diagnostics en cours
DPE 2015 : E pour consommation énergétique, F pour émission gaz à effet de serre.
Montant des charges :environ 522 euros/trimestre.

Autres photos disponibles sur demande.",| Ecole Vétérinaire de Maisons-Alfort| Maisons-Alfort-Alfortville| Vitry-sur-Seine
Vente Appartement,Vincennes (94300),545.000 €,3 pièces 2 chambres 55 m² 9.909 € le m²,"Très bel appartement 3 pièces 55m2, parfaitement agencé, lumineux, situé à 3 min à pied de la Mairie de Vincennes et à 8 min à pied du métro Château de Vincennes ainsi que du RER A de Vincennes, dans une copropriété calme, verdoyante et bien entretenue. Disponible immédiatement.

L'entrée ouverte en étoile, sans perte d'espace, dessert toutes les pièces:

° Un séjour spacieux de 17 m², lumineux grâce à sa vue dégagée sans vis à vis

° Une cuisine entièrement équipée et aménagée (rangements, placards, plan de travail, plaques à induction, four encastré, hotte, réfrigérateur/lave-vaisselle/lave-linge disponibles). Possibilité de cuisine ouverte

° Couloir optimisé avec grand placard intégré desservant deux chambres lumineuses (avec placard intégré et possibilité d'espace de télétravail dans les deux pièces) donnant sur le jardin très calme de la résidence.

° Salle de bains moderne avec nombreux rangements.

° Toilettes indépendantes avec lavabo.

Une cave de 9m2 au sous-sol de l'immeuble, saine, spacieuse et avec rangements, complète le bien. Local à vélos et local à poussettes dans le bâtiment.

Idéalement placé, dans une rue très calme à sens unique (rue Joseph Gaillard) au sein d'un quartier résidentiel et pavillonnaire et très proche du cœur de ville (4 min à pied du centre de Vincennes), à 100 m d'un supermarché (7j/7j), d'une boulangerie et d'une pharmacie, à 3 min à pied de toutes les écoles (crèche, maternelle, primaire, collège), lycée à 8 min.
Périphérique Porte de Vincennes à 9 min en voiture et accès A4 immédiat.

Chauffage collectif, double vitrage, fibre optique.
Aucuns travaux à prévoir.

Charges de copropriété de 165€ par mois (incluant chauffage et eau).
Taxe foncière de 1.167€ par an.

Exemple d'aménagement possible avec les dernières photos en appartement meublé.
L'appartement est disponible immédiatement, pour plus de précisions et visite, je suis joignable par téléphone et email.",| Château de Vincennes| Vincennes| Croix de Chavaux (Place Jacques Duclos)
Vente Appartement,Châtenay-Malabry (92290),329.000 €,3 pièces 2 chambres 56 m² 5.875 € le m²,"Très agréable 3 pièces avec jardinet et parking à Châtenay Malabry (92), proche Plessis Robinson.
1 séjour avec cuisine ouverte, 2 chambres. Salle de bains avec baignoire et wc. Voir plan joint.

Rez-de-jardin: ouverture par une porte fenêtre sur un jardinet privatif de 24,7 m², séparé de la rue par une clôture et une haie persistante.
Place de parking en sous-sol. Accessible par une porte télécommandée commune à l'immeuble..

Chauffage électrique.
Ballon d'eau chaude.
Immeuble livré en 2011.
Code d'entrée pour le portail et les 2 portes intermédiaires avant d'arriver dans le hall de l'immeuble.

Montant estimé des dépenses annuelles d'énergie pour un usage standard : 1000€ par an. Prix moyens des énergies indexés sur l'année 2021 (abonnements compris).",| Mail de la Plaine| Pavé Blanc| Hôpital Béclère
Vente Appartement,Paris 17e (75017),610.000 €,2 pièces 1 chambre 51 m² 11.961 € le m²,"Appartement 2 pièces spacieux et calme
51m2 - quartier Lévis - à 5' à pied du métro Villiers (lignes 2 et 3)
1er étage avec ascenseur
Chauffage individuel électrique
Cave - possibilité parking en sous-sol",| Villiers| Rome| Malesherbes
Vente Appartement,NaN,530.000 €,NaN,,| Corentin Celton| Porte de Versailles (Parc des Expositions de Paris)| Desnouettes
Vente Appartement,Boulogne-Billancourt (92100),750.000 €,3 pièces 2 chambres 83 m² 9.036 € le m²,"Le charme de l’ancien dans une ville dynamique.

Appartement traversant, lumineux et sans vis-à-vis, dans un immeuble sécurisé au pied du M° Billancourt.

Double exposition Est / Ouest avec vue dégagée, situé au 3e étage sur 6 avec ascenseur et une cave de 10m2. L’immeuble dispose d’une partie commune pour les vélos / poussettes.

Beaux volumes, 2,90m sous plafond, cheminées en marbre, parquets en chêne massif, rosaces, moulures. Cuisine équipée et salle de bain modernes, espaces de rangements.

Refait à neuf avec des matériaux de qualité, double vitrage sur toutes les fenêtres, un couloir distribue de part et d'autre l'ensemble des pièces : grande ouverture sur un salon/salle à manger spacieux (30m2) et une chambre donnant sur rue sans vis-à-vis, orientés à l'Ouest.

La cuisine, salle de bains et la 2ème chambre donnent sur une cour calme et arborée, orientées à l'Est. Une dernière petite pièce complète ce bien, pouvant servir de bureau d'appoint ou de dressing

Transports : M° ligne 9, Tram T2, Bus, (future) station du Grand Paris Express

Proche des commerces, écoles, équipements sportifs (patinoire, piscine, Domaine de Saint Cloud, parc nautique) et culturels (la Seine Musicale, cinémas, théâtres, conservatoire...).

Possibilité d'acquérir un parking en supplément dans un immeuble proche.

Classe énergie : D

G.E.S : D",| Billancourt| Pont de Sèvres| Marcel Sembat
